Country,Magnitude,Date,More information
Sweden,4.8,14-Jul-86,"Skultorp, VÃ¤stra GÃ¶taland[63]"
Switzerland,6.5,18 October 1356,1356 Basel earthquake
Syria,7.6,20 May 1202,1202 Syria earthquake
Taiwan,7.6,21-Sep-99,1999 Jiji earthquake
Tajikistan,7.5,10-Jul-49,1949 Khait earthquake
United Republic of Tanzania,7.3,13-Dec-10,[64]
Thailand,6.1,5-May-14,2014 Mae Lao earthquake
Tonga,8.1,30-Apr-19,[65]
Trinidad and Tobago,6.7,22-Apr-97,[66]
Tunisia,5.5,20-Feb-57,[67]
Turkey,7.8,27-Dec-39,1939 Erzincan earthquake
Turkmenistan,7.3,5-Oct-48,1948 Ashgabat earthquake
Uganda,6.5,30-Jun-52,[68]
Ukraine,6.7,11-Sep-27,1927 Crimean earthquakes
United Kingdom,6.1,7-Jun-31,1931 Dogger Bank earthquake
United States of America,9.2,27-Mar-64,1964 Alaska earthquake
Uruguay,5.5,5 June 1888,1888 Rio de la Plata earthquake
Uzbekistan,7,19-Mar-84,[69]
Vanuatu,8.1,20-Sep-20,[70]
Venezuela,7.6,29-Oct-00,[71]
Vietnam,6.7,1-Jun-35,[72]
Yemen,6.3,13-Dec-82,1982 North Yemen earthquake
Zambia,6.7,1-May-19,[73]
